1,[20],0.4788435024259441,0.5259090909090909
2,"[20, 13]",0.6772248381016263,0.6781818181818184
3,"[20, 13, 18]",0.6856453657189658,0.6863636363636363
4,"[20, 13, 18, 12]",0.6794017160228886,0.68
5,"[20, 13, 18, 12, 17]",0.7218735645246696,0.7227272727272728
6,"[20, 13, 18, 12, 17, 19]",0.7286107883881928,0.7290909090909092
7,"[20, 13, 18, 12, 17, 19, 16]",0.7328861128470124,0.7331818181818179
8,"[20, 13, 18, 12, 17, 19, 16, 15]",0.7392633239965214,0.74
9,"[20, 13, 18, 12, 17, 19, 16, 15, 14]",0.7283004860758431,0.728181818181818
10,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1]",0.742540011247469,0.7431818181818182
11,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1, 11]",0.74298999806558,0.7436363636363638
12,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1, 11, 5]",0.7488563670648932,0.7486363636363638
13,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1, 11, 5, 6]",0.7601642735579882,0.760909090909091
1,[20],0.50053881426749,0.5440909090909091
2,"[20, 13]",0.6766453893416017,0.677272727272727
3,"[20, 13, 18]",0.6732191709500864,0.6727272727272725
4,"[20, 13, 18, 12]",0.6908853962127901,0.6918181818181819
5,"[20, 13, 18, 12, 17]",0.7800404230298069,0.7804545454545456
6,"[20, 13, 18, 12, 17, 19]",0.6868277762133548,0.6881818181818182
7,"[20, 13, 18, 12, 17, 19, 16]",0.6763819717844219,0.6786363636363637
8,"[20, 13, 18, 12, 17, 19, 16, 15]",0.6470816185349113,0.6577272727272727
9,"[20, 13, 18, 12, 17, 19, 16, 15, 14]",0.6325770595601573,0.6445454545454549
10,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1]",0.598342540012062,0.6150000000000002
11,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1, 11]",0.6584567818527592,0.6645454545454546
12,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1, 11, 5]",0.6380564219180807,0.6440909090909092
13,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1, 11, 5, 6]",0.6396861188982759,0.6459090909090911
1,[20],0.4930027132542035,0.5254545454545454
2,"[20, 13]",0.6454424100013619,0.655
3,"[20, 13, 18]",0.6122258595659178,0.6340909090909094
4,"[20, 13, 18, 12]",0.6779602549965361,0.68
5,"[20, 13, 18, 12, 17]",0.7067442470477495,0.710909090909091
6,"[20, 13, 18, 12, 17, 19]",0.46127723786758146,0.5363636363636364
7,"[20, 13, 18, 12, 17, 19, 16]",0.4880089832867301,0.5459090909090909
8,"[20, 13, 18, 12, 17, 19, 16, 15]",0.4488116902855576,0.5245454545454544
9,"[20, 13, 18, 12, 17, 19, 16, 15, 14]",0.3434787009918258,0.46818181818181803
10,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1]",0.35638055813275693,0.4827272727272728
11,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1, 11]",0.36096331732326037,0.4868181818181818
12,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1, 11, 5]",0.3669012302310006,0.4895454545454545
13,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1, 11, 5, 6]",0.3633362162879035,0.4913636363636364
1,[20],0.2725315340690802,0.44272727272727264
2,"[20, 13]",0.2736462461593561,0.4186363636363637
3,"[20, 13, 18]",0.2851158503847484,0.423181818181818
4,"[20, 13, 18, 12]",0.27881225128151643,0.43590909090909086
5,"[20, 13, 18, 12, 17]",0.26950042447184397,0.4204545454545454
6,"[20, 13, 18, 12, 17, 19]",0.3163532579945617,0.45499999999999985
7,"[20, 13, 18, 12, 17, 19, 16]",0.32427776049996154,0.46772727272727266
8,"[20, 13, 18, 12, 17, 19, 16, 15]",0.3312039745262073,0.47454545454545427
9,"[20, 13, 18, 12, 17, 19, 16, 15, 14]",0.34922372197964463,0.4886363636363636
10,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1]",0.36431435798846257,0.4940909090909089
11,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1, 11]",0.31188851061084333,0.4622727272727273
12,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1, 11, 5]",0.356898924640328,0.49045454545454525
13,"[20, 13, 18, 12, 17, 19, 16, 15, 14, 1, 11, 5, 6]",0.32236432772201395,0.46590909090909094
